"BehaviorSpace results (NetLogo 6.2.0)"
"lab2_5.nlogo"
"experiment"
"04/16/2021 13:50:39:315 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","%-similar-wanted","[step]","percent-similar"
"101","25","2","58.93634165995165"
"102","25","2","57.640232108317214"
"100","20","5","57.117322066948326"
"99","20","7","57.80130293159609"
"101","25","3","59.592229892438596"
"100","20","6","57.22177091795289"
"102","25","3","59.31766977792082"
"101","25","4","60.22526146419952"
"103","25","0","49.45731410983314"
"104","25","0","49.98371865841745"
"102","25","4","59.69740865926284"
"101","25","5","60.54706355591312"
"103","25","1","55.04350628424106"
"104","25","1","56.17959446411329"
"101","25","6","60.52123552123552"
"102","25","5","59.98066698888351"
"103","25","2","57.92262000321079"
"104","25","2","58.4121892542101"
"102","25","6","60.01931434089812"
"101","25","7","60.550458715596335"
"103","25","3","58.82823755402593"
"104","25","3","59.25866495507061"
"102","25","7","60.20605280103026"
"101","25","8","60.57289990344383"
"103","25","4","59.599999999999994"
"104","25","4","59.54247320428732"
"102","25","8","60.25434642627173"
"103","25","5","59.929588734197466"
"105","25","0","48.76492720431867"
"104","25","5","60.01919078842156"
"102","25","9","60.24794719046852"
"103","25","6","60.04792332268371"
"104","25","6","60.076775431861805"
"105","25","1","54.58693172559883"
"102","25","10","60.29624859120914"
"103","25","7","60.05751717526762"
"104","25","7","60.073552926127284"
"105","25","2","56.552614590058106"
"104","25","8","60.10867828032603"
"103","25","8","60.07987220447284"
"106","25","0","49.894257361314466"
"105","25","3","57.647058823529406"
"104","25","9","60.140642480421924"
"106","25","1","56.058394160583944"
"105","25","4","58.29032258064516"
"107","25","0","50.17880364109233"
"108","25","0","50.5029201817002"
"106","25","2","59.015334947538335"
"105","25","5","58.486312399355874"
"107","25","1","55.88569572982627"
"106","25","3","60.01616814874697"
"108","25","1","55.20142371784501"
"105","25","6","58.55464348945759"
"106","25","4","61.23668065870197"
"107","25","2","57.607640012949176"
"105","25","7","58.59626529298133"
"108","25","2","57.4169622702354"
"106","25","5","61.876311965121914"
"107","25","3","58.6073500967118"
"105","25","8","58.65121519394817"
"108","25","3","58.41647891857097"
"106","25","6","61.93090087181143"
"107","25","4","59.03750201191051"
"108","25","4","59.06385716583561"
"109","25","0","50.853797365425265"
"108","25","5","59.25747348119575"
"106","25","7","62.01162415240555"
"107","25","5","59.25269769689161"
"109","25","1","56.65694849368319"
"108","25","6","59.39559556341424"
"106","25","8","62.07620277688085"
"107","25","6","59.28490900306007"
"108","25","7","59.54333494130889"
"108","25","8","59.61414790996784"
"110","25","0","49.84565393988627"
"111","25","0","49.755859375"
"109","25","2","58.98140662894099"
"110","25","1","55.868089233753636"
"111","25","1","55.15063168124392"
"109","25","3","60.01290947232532"
"112","25","0","49.63325183374083"
"110","25","2","58.04375804375804"
"109","25","4","60.53225806451613"
"111","25","2","57.55128412211275"
"110","25","3","58.891566265060234"
"112","25","1","55.63483054970002"
"109","25","5","60.721765748348645"
"111","25","3","58.53854820537583"
"109","25","6","60.789049919484704"
"112","25","2","57.87516170763261"
"110","25","4","59.55398684421627"
"109","25","7","60.782734739893705"
"111","25","4","59.03012727565652"
"112","25","3","58.922232978380116"
"110","25","5","59.79464142467512"
"109","25","8","60.81494604606217"
"112","25","4","59.46817082997583"
"111","25","5","59.33870967741935"
"110","25","6","59.93265993265994"
"109","25","9","60.90177133655394"
"112","25","5","59.82272360999195"
"111","25","6","59.455102369821056"
"110","25","7","59.958306606799226"
"112","25","6","59.90011277589819"
"111","25","7","59.53570852813155"
"110","25","8","60.05456588027604"
"111","25","8","59.561431796194775"
"115","25","0","48.89759921607055"
"114","25","0","50.300764103397825"
"113","25","0","50.0326264274062"
"115","25","1","54.53660120110372"
"114","25","1","55.19857927026154"
"113","25","1","55.524816924328725"
"116","25","0","49.88603060892218"
"114","25","2","57.56451612903226"
"113","25","2","57.97312611299984"
"116","25","1","55.60414642047296"
"115","25","2","56.61752794427345"
"114","25","3","58.88906830292265"
"113","25","3","59.34867141931303"
"114","25","4","59.977415712211645"
"115","25","3","57.391865719819236"
"113","25","4","59.67298041120285"
"114","25","5","60.373711340206185"
"115","25","4","58.11924381968008"
"113","25","5","59.82850671412393"
"114","25","6","60.38343805381021"
"115","25","5","58.19738329833629"
"113","25","6","59.990292832874935"
"114","25","7","60.49959709911362"
"115","25","6","58.2579185520362"
"116","25","2","57.884553369880685"
"115","25","7","58.27140549273021"
"116","25","3","59.08360128617364"
"113","25","7","59.9644128113879"
"116","25","4","59.61136984101494"
"117","25","0","49.77213541666667"
"113","25","8","60.00323467572376"
"114","25","8","60.673433220557435"
"116","25","5","59.99678559948569"
"117","25","1","54.75920220528621"
"116","25","6","60.28915662650603"
"118","25","0","50.81779522407589"
"117","25","2","57.30210016155088"
"118","25","1","55.245209483598565"
"117","25","3","58.707187650747706"
"119","25","0","50.07313505607021"
"118","25","2","58.2089552238806"
"117","25","4","59.469453376205784"
"119","25","1","55.914673561732386"
"118","25","3","59.154929577464785"
"117","25","5","59.913169319826345"
"119","25","2","58.106585090967634"
"118","25","4","59.6116504854369"
"117","25","6","59.996788180504254"
"116","25","7","60.28915662650603"
"119","25","3","59.272376046361885"
"117","25","7","60.11244979919679"
"119","25","4","59.57857487534181"
"116","25","8","60.30522088353414"
"117","25","8","60.17997750281214"
"119","25","5","59.72356155576984"
"118","25","5","60.01616814874697"
"116","25","9","60.35341365461847"
"119","25","6","59.78801991328088"
"118","25","6","60.306946688206786"
"120","25","0","49.02660609993511"
"118","25","7","60.53311793214863"
"117","25","9","60.208835341365464"
"118","25","8","60.55223639593089"
"120","25","1","54.58944991127601"
"121","30","0","51.479674796747965"
"120","25","2","56.81708687971736"
"122","30","0","49.9021207177814"
"121","30","1","59.86007159127888"
"120","25","3","57.86264441591784"
"122","30","1","58.20604484887878"
"120","25","4","58.37604099935938"
"121","30","2","65.08634734441186"
"122","30","2","64.12424784517808"
"119","25","7","59.87158908507223"
"121","30","3","67.58732737611697"
"120","25","5","58.7116368286445"
"123","30","0","50.60143042912873"
"121","30","4","68.81476683937824"
"120","25","6","58.80472994566954"
"123","30","1","59.23026744944553"
"122","30","3","67.15981141277841"
"123","30","2","63.32191222059064"
"120","25","7","58.88835649257307"
"122","30","4","68.90224098733356"
"123","30","3","66.56366888925028"
"120","25","8","59.012464046021094"
"122","30","5","70.1705930138099"
"123","30","4","68.76419072332143"
"122","30","6","70.85565838610164"
"124","30","0","50.23550430404418"
"123","30","5","69.92554224668177"
"122","30","7","71.43783433295509"
"121","30","5","70.01780799740975"
"124","30","1","59.1953086821958"
"122","30","8","71.622934888241"
"121","30","6","70.55492638731596"
"122","30","9","71.75251052802074"
"124","30","2","62.890117035110535"
"121","30","7","70.90879689521346"
"123","30","6","70.85565838610164"
"122","30","10","71.91703127532004"
"121","30","8","71.1721907841552"
"123","30","7","71.06755224364166"
"121","30","9","71.40316844487552"
"123","30","8","71.18589225044491"
"124","30","3","66.47173489278752"
"123","30","9","71.46325671738427"
"121","30","10","71.51172190784155"
"122","30","11","71.98834196891191"
"123","30","10","71.46092865232163"
"124","30","4","68.81598180932272"
"121","30","11","71.54169360051714"
"123","30","11","71.47249190938511"
"122","30","12","72.10432528754252"
"124","30","5","70.36496350364963"
"123","30","12","71.50946448794694"
"121","30","12","71.52553329023917"
"122","30","13","72.06930051813471"
"125","30","0","50.18599385411613"
"124","30","6","71.38221933809214"
"122","30","14","72.10807312732568"
"124","30","7","72.11678832116787"
